stn;time;leadtime;T_2M;T_2M;T_2M;T_2M;T_2M;T_2M;T_2M;T_2M;T_2M;T_2M;T_2M;T_2M;T_2M;T_2M;T_2M;T_2M;T_2M;T_2M;T_2M;T_2M;T_2M;FF_10M;FF_10M;FF_10M;FF_10M;FF_10M;FF_10M;FF_10M;FF_10M;FF_10M;FF_10M;FF_10M;FF_10M;FF_10M;FF_10M;FF_10M;FF_10M;FF_10M;FF_10M;FF_10M;FF_10M;FF_10M;DD_10M;DD_10M;DD_10M;DD_10M;DD_10M;DD_10M;DD_10M;DD_10M;DD_10M;DD_10M;DD_10M;DD_10M;DD_10M;DD_10M;DD_10M;DD_10M;DD_10M;DD_10M;DD_10M;DD_10M;DD_10M;TOT_PREC;TOT_PREC;TOT_PREC;TOT_PREC;TOT_PREC;TOT_PREC;TOT_PREC;TOT_PREC;TOT_PREC;TOT_PREC;TOT_PREC;TOT_PREC;TOT_PREC;TOT_PREC;TOT_PREC;TOT_PREC;TOT_PREC;TOT_PREC;TOT_PREC;TOT_PREC;TOT_PREC;RELHUM_2M;RELHUM_2M;RELHUM_2M;RELHUM_2M;RELHUM_2M;RELHUM_2M;RELHUM_2M;RELHUM_2M;RELHUM_2M;RELHUM_2M;RELHUM_2M;RELHUM_2M;RELHUM_2M;RELHUM_2M;RELHUM_2M;RELHUM_2M;RELHUM_2M;RELHUM_2M;RELHUM_2M;RELHUM_2M;RELHUM_2M;DURSUN;DURSUN;DURSUN;DURSUN;DURSUN;DURSUN;DURSUN;DURSUN;DURSUN;DURSUN;DURSUN;DURSUN;DURSUN;DURSUN;DURSUN;DURSUN;DURSUN;DURSUN;DURSUN;DURSUN;DURSUN;
;unit;;[deg C];[deg C];[deg C];[deg C];[deg C];[deg C];[deg C];[deg C];[deg C];[deg C];[deg C];[deg C];[deg C];[deg C];[deg C];[deg C];[deg C];[deg C];[deg C];[deg C];[deg C];[m s-1];[m s-1];[m s-1];[m s-1];[m s-1];[m s-1];[m s-1];[m s-1];[m s-1];[m s-1];[m s-1];[m s-1];[m s-1];[m s-1];[m s-1];[m s-1];[m s-1];[m s-1];[m s-1];[m s-1];[m s-1];[degrees];[degrees];[degrees];[degrees];[degrees];[degrees];[degrees];[degrees];[degrees];[degrees];[degrees];[degrees];[degrees];[degrees];[degrees];[degrees];[degrees];[degrees];[degrees];[degrees];[degrees];[kg m-2];[kg m-2];[kg m-2];[kg m-2];[kg m-2];[kg m-2];[kg m-2];[kg m-2];[kg m-2];[kg m-2];[kg m-2];[kg m-2];[kg m-2];[kg m-2];[kg m-2];[kg m-2];[kg m-2];[kg m-2];[kg m-2];[kg m-2];[kg m-2];[%];[%];[%];[%];[%];[%];[%];[%];[%];[%];[%];[%];[%];[%];[%];[%];[%];[%];[%];[%];[%];[s];[s];[s];[s];[s];[s];[s];[s];[s];[s];[s];[s];[s];[s];[s];[s];[s];[s];[s];[s];[s];
;member;;00;01;02;03;04;05;06;07;08;09;10;11;12;13;14;15;16;17;18;19;20;00;01;02;03;04;05;06;07;08;09;10;11;12;13;14;15;16;17;18;19;20;00;01;02;03;04;05;06;07;08;09;10;11;12;13;14;15;16;17;18;19;20;00;01;02;03;04;05;06;07;08;09;10;11;12;13;14;15;16;17;18;19;20;00;01;02;03;04;05;06;07;08;09;10;11;12;13;14;15;16;17;18;19;20;00;01;02;03;04;05;06;07;08;09;10;11;12;13;14;15;16;17;18;19;20;
ARO;20231205 00:00;000:00;-3.4;-2.0;-2.7;-2.6;-3.3;-2.5;-3.1;-4.0;-2.6;-3.0;-3.6;-3.1;-2.8;-3.6;-3.4;-2.5;-3.1;-2.3;-3.5;-2.9;-3.5;1.4;3.2;2.1;2.6;0.9;1.7;1.5;2.3;2.4;1.4;1.4;1.6;2.4;2.3;1.8;2.6;1.2;2.0;1.8;0.8;2.4;113.5;129.8;174.1;130.8;154.2;132.8;98.9;121.2;116.4;182.3;145.8;146.9;104.1;165.0;178.2;124.4;97.5;79.8;121.9;73.1;151.4;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;74.6;70.7;72.2;69.0;74.0;69.1;76.4;73.2;68.3;71.8;78.4;70.4;69.9;74.5;76.9;70.0;68.4;70.7;71.8;72.9;75.5;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;
ARO;20231205 06:00;006:00;-4.5;-4.1;-5.5;-4.3;-5.3;-4.1;-5.4;-5.2;-5.2;-4.6;-5.5;-4.8;-4.3;-4.7;-4.7;-4.6;-5.1;-3.5;-5.4;-5.4;-5.6;1.0;0.4;0.6;1.4;0.2;0.1;0.8;0.4;0.1;0.4;0.2;0.8;2.1;0.6;0.8;0.8;0.3;1.2;0.3;0.3;1.0;307.7;129.4;132.2;164.1;346.5;20.8;201.8;157.5;196.5;95.8;143.0;310.8;292.6;128.2;177.2;119.6;203.5;115.2;249.6;252.5;144.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;69.5;72.7;70.0;72.8;71.4;72.6;69.4;71.4;72.4;74.9;72.1;70.2;71.2;73.3;68.1;74.6;66.6;72.6;71.1;70.5;76.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
ARO;20231205 12:00;012:00;-4.7;-4.5;-5.0;-4.4;-4.6;-3.9;-5.6;-5.3;-5.2;-5.0;-5.0;-4.7;-4.2;-4.1;-4.3;-4.3;-5.0;-3.8;-4.0;-5.3;-5.1;0.4;0.7;1.0;0.2;1.4;0.7;0.7;1.2;0.9;0.6;1.3;1.2;0.7;0.6;0.8;0.6;0.9;0.7;1.3;0.3;0.9;117.2;268.5;314.8;98.9;100.8;80.7;68.7;120.0;276.5;105.4;120.5;128.5;106.2;275.2;94.1;52.6;93.7;79.3;132.8;348.4;114.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;74.9;85.8;66.5;89.9;72.8;93.8;68.7;79.5;77.6;92.9;76.6;81.8;78.4;83.8;68.4;89.7;72.5;94.2;72.7;70.8;69.7;392.5;1834.4;1584.3;0.0;0.0;0.0;10099.0;964.1;3875.8;3.3;0.0;0.0;298.2;0.0;0.0;245.9;0.0;0.0;0.0;2882.6;2252.2;
ARO;20231205 18:00;018:00;-4.5;-4.6;-5.3;-4.8;-4.3;-4.1;-5.7;-5.0;-5.1;-4.1;-5.0;-4.5;-4.7;-4.6;-5.0;-4.4;-4.7;-4.0;-4.1;-5.6;-5.3;1.0;0.6;1.0;0.5;1.4;0.5;1.1;0.5;0.3;1.2;1.3;1.0;0.7;1.5;1.4;0.2;0.8;0.1;0.8;0.7;0.6;122.0;122.5;129.2;159.6;127.9;15.0;120.2;29.2;121.1;107.8;145.2;295.3;104.8;104.4;281.3;84.8;283.9;2.2;227.2;41.2;119.9;0.0;0.0;0.0;0.0;0.0;3.4;0.0;0.0;0.0;1.5;0.0;0.0;0.0;0.0;0.0;1.0;0.0;5.1;0.0;0.0;0.0;84.5;81.8;87.5;89.1;90.0;95.0;74.2;85.0;84.8;83.6;82.4;90.9;88.7;94.3;89.6;97.0;84.4;92.8;83.2;77.5;86.3;0.0;0.0;0.0;0.0;0.0;0.0;4500.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
ARO;20231206 00:00;024:00;-5.6;-5.9;-6.0;-5.9;-5.5;-6.1;-5.8;-5.9;-6.4;-5.0;-5.7;-6.0;-6.1;-5.5;-5.9;-5.8;-5.9;-5.4;-5.3;-5.9;-5.7;0.3;0.4;0.8;0.1;1.1;0.5;0.4;0.3;0.9;0.3;1.5;0.9;0.5;0.5;0.1;1.0;0.5;0.3;0.7;1.1;1.5;107.2;110.3;299.2;39.6;122.0;112.4;142.7;59.0;101.9;123.4;125.9;113.8;90.2;105.4;141.0;115.9;114.7;35.9;103.3;109.7;277.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;91.3;94.9;92.0;94.1;93.1;97.3;80.6;83.9;90.6;93.1;85.9;91.2;92.2;96.4;93.9;92.5;93.8;95.5;93.6;82.5;85.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
ARO;20231206 06:00;030:00;-6.0;-5.8;-6.3;-5.6;-6.4;-6.0;-7.4;-6.8;-6.2;-5.3;-5.9;-6.0;-6.0;-5.5;-6.0;-6.2;-5.9;-5.5;-6.1;-6.2;-5.6;0.9;0.2;0.0;0.2;1.3;1.1;0.5;0.4;0.9;0.9;0.3;0.9;0.2;0.8;0.5;0.5;0.9;0.7;0.2;0.5;1.0;121.0;25.3;151.1;154.7;109.9;121.1;140.9;99.1;129.8;127.3;149.1;140.1;162.1;124.2;105.3;295.5;143.0;291.2;93.3;113.4;135.4;0.0;0.0;1.6;0.0;1.3;0.0;0.0;0.0;1.2;0.0;0.0;1.2;1.8;1.0;1.6;0.0;0.0;0.0;1.2;0.0;0.0;93.3;94.6;94.5;80.3;93.4;95.0;75.4;81.8;92.2;92.2;90.1;90.7;94.8;91.4;97.0;94.0;92.0;90.0;96.1;88.3;83.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
ARO;20231206 12:00;036:00;-4.4;-4.6;-4.8;-4.4;-5.5;-4.7;-7.5;-5.8;-4.6;-3.9;-4.3;-4.6;-4.5;-5.2;-4.7;-4.8;-5.5;-4.7;-4.8;-4.5;-4.8;1.0;0.7;1.0;0.8;0.6;0.6;0.6;0.7;0.3;0.5;0.6;0.4;0.9;1.4;0.8;0.7;2.1;0.6;1.2;0.1;0.9;325.8;325.8;299.2;344.9;39.9;72.8;29.2;18.9;321.6;33.3;51.1;358.6;6.3;344.5;83.4;340.4;317.1;4.9;315.7;320.4;10.8;1.0;1.4;0.0;0.0;0.0;1.5;0.0;0.0;0.0;0.0;0.0;1.8;1.6;1.7;0.0;0.0;1.5;0.0;0.0;0.0;0.0;88.4;92.7;89.1;88.6;90.0;88.8;76.7;85.3;88.1;85.9;90.3;92.6;91.4;95.3;91.4;88.5;90.6;94.8;92.1;86.7;93.8;0.0;0.0;523.7;446.6;0.0;0.0;11238.3;863.7;0.0;265.6;478.7;0.0;0.0;0.0;1015.7;778.7;0.0;0.0;0.0;545.3;0.0;
ARO;20231206 18:00;042:00;-6.1;-6.1;-6.1;-6.0;-6.4;-6.1;-7.5;-6.8;-6.2;-5.6;-6.0;-7.0;-5.8;-6.2;-5.9;-5.8;-6.9;-5.4;-5.6;-6.5;-6.5;2.1;1.6;0.8;0.8;1.1;2.1;0.4;0.2;1.9;1.1;2.5;2.4;1.5;0.4;1.1;0.7;1.9;0.5;1.5;2.0;0.9;298.0;310.3;290.1;263.8;336.6;281.8;153.4;88.5;263.9;284.8;310.6;310.8;287.5;249.0;277.4;269.4;267.6;341.2;275.5;265.9;319.6;1.1;1.7;3.0;2.3;1.6;0.0;0.0;0.0;1.4;1.1;1.2;1.9;0.0;1.1;1.8;0.0;1.1;0.0;1.4;0.0;2.1;94.5;95.0;93.6;90.9;96.3;93.0;95.9;93.3;92.7;94.0;94.1;90.3;92.5;86.4;90.0;91.0;92.2;95.4;92.3;92.9;89.5;0.0;0.0;0.0;0.0;262.0;0.0;34.3;0.0;0.0;28.2;0.0;0.0;0.0;0.0;0.0;161.8;0.0;0.0;0.0;72.8;0.0;
