filename;stationsname;geopos;gemeinde;plz;anzahl_bikes;join_key
2023-05-11T18:06:00+00:00;Liebefeld Bahnhof;46.93036, 7.41928;0355;3097;0;2023-05-11T20:06:00+02:00-Liebefeld Bahnhof
2023-05-11T18:06:00+00:00;PostParc Velostation (06:00-22:00)- INSIDE the building!;46.94786, 7.4369;0351;3008;8;2023-05-11T20:06:00+02:00-PostParc Velostation (06:00-22:00)- INSIDE the building!
2023-05-11T18:06:00+00:00;Römerweg;46.95824, 7.44748;0351;3013;4;2023-05-11T20:06:00+02:00-Römerweg
2023-05-11T18:06:00+00:00;Theaterplatz;46.9476, 7.44735;0351;3011;0;2023-05-11T20:06:00+02:00-Theaterplatz
2023-05-11T18:06:00+00:00;Fischermätteli;46.9406, 7.41874;0351;3008;8;2023-05-11T20:06:00+02:00-Fischermätteli
2023-05-11T18:06:00+00:00;Hochfeldstrasse;46.95561, 7.42803;0351;3012;5;2023-05-11T20:06:00+02:00-Hochfeldstrasse
2023-05-11T18:06:00+00:00;Nationalbank;46.94689, 7.44583;0351;3011;6;2023-05-11T20:06:00+02:00-Nationalbank
2023-05-11T18:06:00+00:00;Camping Eichholz;46.93314, 7.45593;0355;3084;6;2023-05-11T20:06:00+02:00-Camping Eichholz
2023-05-11T18:06:00+00:00;Weyermannshaus Bad;46.94775, 7.40356;0351;3027;5;2023-05-11T20:06:00+02:00-Weyermannshaus Bad
2023-05-11T18:06:00+00:00;Ka-We-De;46.93561, 7.44714;0351;3005;12;2023-05-11T20:06:00+02:00-Ka-We-De
2023-05-11T18:06:00+00:00;GVB;46.97095, 7.47205;0362;3063;2;2023-05-11T20:06:00+02:00-GVB
2023-05-11T18:06:00+00:00;Wankdorf Bhf Süd;46.96659, 7.46396;0351;3014;6;2023-05-11T20:06:00+02:00-Wankdorf Bhf Süd
2023-05-11T18:06:00+00:00;Seminar;46.94274, 7.45954;0351;3006;0;2023-05-11T20:06:00+02:00-Seminar
2023-05-11T18:06:00+00:00;Bierhübeli;46.95692, 7.43766;0351;3012;3;2023-05-11T20:06:00+02:00-Bierhübeli
2023-05-11T18:06:00+00:00;Elfenauweg;46.93946, 7.46973;0351;3006;5;2023-05-11T20:06:00+02:00-Elfenauweg
2023-05-11T18:06:00+00:00;Kirche St. Antonius;46.93992, 7.39503;0351;3018;0;2023-05-11T20:06:00+02:00-Kirche St. Antonius
2023-05-11T18:06:00+00:00;Casinoplatz;46.94652, 7.44814;0351;3011;0;2023-05-11T20:06:00+02:00-Casinoplatz
2023-05-11T18:06:00+00:00;Hallerstrasse West;46.95387, 7.43656;0351;3012;1;2023-05-11T20:06:00+02:00-Hallerstrasse West
2023-05-11T18:06:00+00:00;Neufeldstrasse Ost;46.95815, 7.43499;0351;3012;1;2023-05-11T20:06:00+02:00-Neufeldstrasse Ost
2023-05-11T18:06:00+00:00;Breitfeld;46.96196, 7.45296;0351;3014;12;2023-05-11T20:06:00+02:00-Breitfeld
2023-05-11T18:06:00+00:00;GP-Bern nicht in Betrieb (12.05 10:00 - 13.05.20:00): Nydegg;46.94864, 7.45674;0351;3011;11;2023-05-11T20:06:00+02:00-GP-Bern nicht in Betrieb (12.05 10:00 - 13.05.20:00): Nydegg
2023-05-11T18:06:00+00:00;Mittelstrasse Süd;46.95342, 7.43282;0351;3012;6;2023-05-11T20:06:00+02:00-Mittelstrasse Süd
2023-05-11T18:06:00+00:00;Breitenrainstrasse;46.9572, 7.45089;0351;3013;1;2023-05-11T20:06:00+02:00-Breitenrainstrasse
2023-05-11T18:06:00+00:00;Unitobler West;46.95415, 7.43071;0351;3012;4;2023-05-11T20:06:00+02:00-Unitobler West
2023-05-11T18:06:00+00:00;GP-Bern nicht in Betrieb (12.05 10:00 - 13.05.20:00): Jubiläumsplatz;46.94018, 7.45304;0351;3005;0;2023-05-11T20:06:00+02:00-GP-Bern nicht in Betrieb (12.05 10:00 - 13.05.20:00): Jubiläumsplatz
2023-05-11T18:06:00+00:00;Dammweg TX Group AG;46.95592, 7.44678;0351;3013;7;2023-05-11T20:06:00+02:00-Dammweg TX Group AG
2023-05-11T18:06:00+00:00;Zieglerstrasse;46.94297, 7.43024;0351;3007;6;2023-05-11T20:06:00+02:00-Zieglerstrasse
