station/location;date;gre000d0;hto000d0;nto000d0;prestad0;rre150d0;sre000d0;tre200d0;tre200dn;tre200dx;ure200d0
BER;20230101;60;0;-;958.3;0;345;6.7;2.1;13.6;90.4
BER;20230102;52;0;-;958.8;3.8;151;7.1;1.7;14.5;85.2
BER;20230103;17;0;-;964.5;1.5;0;6.7;5;7.7;96.7
BER;20230104;29;0;-;964.8;1.3;0;6.9;5;9;87.9
BER;20230105;37;0;-;961.4;0.2;22;7.7;2.5;10.9;93.5
BER;20230106;20;0;-;959.2;0;0;5.3;2.7;7.2;91.6
BER;20230107;65;0;-;952.7;0.5;278;5.5;2.2;8.6;81.8
BER;20230108;17;0;-;943.6;19.9;0;4.8;1.2;6.8;92.4
BER;20230109;27;0;-;945.1;7.1;26;4;2.2;6.7;84
BER;20230110;62;0;-;958.1;0;210;3.5;1.4;6.3;79.4
BER;20230111;16;0;-;956.6;6.1;0;4.6;2.7;6.8;85.9
BER;20230112;36;0;-;957.2;1.2;4;5.8;1.7;8.5;70.2
BER;20230113;30;0;-;955.2;4.1;51;6.5;5.3;9.4;78.2
BER;20230114;51;0;-;953.1;0.5;67;6;1.1;10.4;69.9
BER;20230115;13;0;-;946.7;12;71;4.7;0.3;9.8;81.7
BER;20230116;34;0;-;931.1;0.2;46;1.5;-2;5.1;81.5
BER;20230117;16;0;-;923.4;6.6;0;0.2;-1.7;1.6;90.7
BER;20230118;29;9;-;932.5;3.4;0;-1;-8.7;0.9;89.5
BER;20230119;81;8;-;943.7;0;322;-6.6;-11.8;-1.4;85.9
BER;20230120;57;7;-;950.9;0;75;-7.2;-14.1;-2.5;80.4
BER;20230121;81;7;-;955;0;224;-6;-12.9;-1.1;83.3
BER;20230122;32;7;-;957.9;0;0;-2.2;-3.3;-1.3;80.4
BER;20230123;17;6;-;959.3;0;0;-1.6;-3;0.1;78
BER;20230124;38;6;-;963.7;0;0;0.4;-1;1.2;75.8
BER;20230125;17;5;-;960.9;0;0;-0.4;-1.1;0.4;81.5
BER;20230126;13;5;-;953.1;0;0;-1.1;-1.7;-0.6;82.2
BER;20230127;17;4;-;952;0;0;-1.4;-1.8;-0.9;80
BER;20230128;16;4;-;956.3;0;0;-0.9;-1.5;-0.1;76.9
BER;20230129;42;4;-;960.5;0;0;-1.4;-5.8;0;75.4
BER;20230130;87;3;-;960.8;0;230;-1.2;-6.4;3;77.8
BER;20230131;96;2;-;962.6;0;309;1.2;-3;4.4;79.9
BER;20230201;85;0;-;962.5;0;222;2.4;-2.2;6.7;74.9
BER;20230202;81;0;-;965.3;0;175;4;0.3;7.7;69.2
BER;20230203;106;0;-;967.8;0;390;3.6;-0.2;8.2;73.7
BER;20230204;36;0;-;968.3;0;8;4.5;1.4;7.8;82.5
BER;20230205;41;0;-;968.6;2.4;55;1.5;-2.4;4.6;91.7
BER;20230206;20;0;-;966.8;0;2;1.3;-0.9;2.7;81.4
BER;20230207;124;0;-;966.3;0;540;-0.9;-4;3.4;74.3
BER;20230208;57;0;-;966;0;122;-2.9;-6.2;-0.4;79.8
BER;20230209;124;0;-;967;0;536;-2.5;-7.5;4;81.3
BER;20230210;125;0;-;970.9;0;481;-1.4;-6.2;5.1;77.6
BER;20230211;127;0;-;969.7;0;539;-0.3;-5.7;7.3;76.9
BER;20230212;131;0;-;968.8;0;547;0.8;-4.5;7.8;79.6
BER;20230213;129;0;-;970;0;456;0.8;-3.8;8.5;86.9
